task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
70	66/a97d04	2434459	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR17262072)	CACHED	0	2025-06-04 16:58:25.711	10.6s	10s	34.8%	8.6 MB	16.8 MB	320.9 MB	159.8 MB
71	2e/1b0db0	2452298	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR30811281)	CACHED	0	2025-06-04 16:59:48.285	5.9s	6s	25.6%	8.7 MB	16.8 MB	65.5 MB	64.1 MB
68	aa/a22e61	2434483	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR3209113)	CACHED	0	2025-06-04 16:58:25.756	1m 26s	1m 25s	38.1%	8.6 MB	16.9 MB	2.9 GB	1.5 GB
81	40/26dd30	2456772	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (ERR6062334)	CACHED	0	2025-06-04 17:00:07.882	4.8s	4s	15.2%	8.7 MB	16.8 MB	25.6 MB	12.1 MB
73	04/5f9529	2452697	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR21524979)	CACHED	0	2025-06-04 16:59:51.541	6s	5s	31.6%	8.7 MB	16.9 MB	103.5 MB	51.1 MB
62	8a/5fae48	2443803	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR24442882)	CACHED	0	2025-06-04 16:58:59.037	6.2s	6s	31.8%	8.5 MB	16.9 MB	106.1 MB	52.4 MB
74	d1/b7c649	2437549	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR17653168)	CACHED	0	2025-06-04 16:58:36.146	4.8s	4s	17.8%	8.6 MB	16.9 MB	45.8 MB	22.2 MB
80	f5/c1640f	2444945	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR17261992)	CACHED	0	2025-06-04 16:59:05.261	8.8s	8s	30.9%	8.7 MB	16.9 MB	227.9 MB	113.3 MB
77	b8/7fe5ef	2437773	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR22807071)	CACHED	0	2025-06-04 16:58:36.355	4.6s	4s	18.4%	8.5 MB	16.9 MB	48.9 MB	23.8 MB
79	63/cd8a46	2447707	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR25867284)	CACHED	0	2025-06-04 16:59:20.798	5.7s	5s	28.8%	8.7 MB	16.9 MB	44.5 MB	43.1 MB
78	23/cbf2b8	2446196	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR21236084)	CACHED	0	2025-06-04 16:59:14.030	6.8s	6s	28.7%	8.6 MB	16.9 MB	155.3 MB	77 MB
85	70/c2da25	2453465	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR33191567)	CACHED	0	2025-06-04 16:59:54.168	50.6s	50s	44.4%	8.7 MB	16.9 MB	2.1 GB	1 GB
67	9f/c3aa52	2439069	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR31960004)	CACHED	0	2025-06-04 16:58:40.946	5.8s	5s	30.5%	8.6 MB	16.9 MB	47 MB	45.7 MB
72	13/de3de8	2440111	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR20973040)	CACHED	0	2025-06-04 16:58:43.597	1m 18s	1m 17s	51.0%	10.9 MB	17.7 MB	3.9 GB	2 GB
93	31/9b4af3	2439092	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR27477368)	CACHED	0	2025-06-04 16:58:40.985	1m 27s	1m 26s	40.6%	8.6 MB	16.8 MB	1.8 GB	1.8 GB
