# id: 'blast'
# section_name: 'CLUSTER: Blast'
# format: 'tsv'
# description: 'Overview of the identified clusters and their associated best hits in the provided reference pool'
# plot_type: 'table'
"(annotation) query"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"sample"	"cluster"	"step"
"Jon-MN090277-MN090240_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090277-MN090240"	"cl0"	"it2"
"Jon-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090277"	"cl0"	"it1"
"Eddard-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-reference"	"cl1"	"it1"
"Jon-MN090240_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090240"	"cl0"	"itvariant-calling"
"Bran-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-virosaurus"	"cl0"	"it2"
"Bran-reference_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-reference"	"cl0"	"consensus"
"Eddard-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-reference"	"cl1"	"it2"
"Jon-reference_cl3_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl3"	"it1"
"Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277-MN090188"	"cl0"	"it2"
"Catelyn-virosaurus_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl1"	"it1"
"Robb-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-reference"	"cl1"	"it1"
"Jon-virosaurus_cl5_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-virosaurus"	"cl5"	"itvariant-calling"
"Rickon-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277"	"cl0"	"itvariant-calling"
"Jon-MN090277-MN090240_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090277-MN090240"	"cl0"	"itvariant-calling"
"Daenerys-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl0"	"it1"
"Robb-MN090277-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277-MN090188"	"cl0"	"it2"
"Jon-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl1"	"it1"
"Bran-MN090277-MN090240_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MN090240"	"cl0"	"it2"
"Jon-virosaurus_cl5_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-virosaurus"	"cl5"	"it1"
"Catelyn-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277"	"cl0"	"it2"
"Bran-MZ766668_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MZ766668"	"cl0"	"consensus"
"Bran-reference_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-reference"	"cl0"	"it1"
"Jon-MN090240_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090240"	"cl0"	"it1"
"Daenerys-reference_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl1"	"itvariant-calling"
"Robb-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090188"	"cl0"	"itvariant-calling"
"Bran-virosaurus_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-virosaurus"	"cl0"	"consensus"
"Daenerys-virosaurus_cl15_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl15"	"it1"
"Catelyn-MN090188_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090188"	"cl0"	"consensus"
"Bran-MN090240_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090240"	"cl0"	"it1"
"Eddard-reference_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-reference"	"cl1"	"itvariant-calling"
"Bran-MN090277-MN090188_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MN090188"	"cl0"	"consensus"
"Bran-MN090277-MN090240_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MN090240"	"cl0"	"itvariant-calling"
"Catelyn-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277"	"cl0"	"itvariant-calling"
"Jon-reference_cl3_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl3"	"itvariant-calling"
"Jon-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090277"	"cl0"	"it2"
"Jon-MN090240_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090240"	"cl0"	"it2"
"Bran-MN090277-MN090240_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MN090240"	"cl0"	"it1"
"Eddard-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277"	"cl0"	"it1"
"Bran-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090188"	"cl0"	"it2"
"Rickon-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-virosaurus"	"cl0"	"itvariant-calling"
"Rickon-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Eddard-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090188"	"cl0"	"it2"
"Eddard-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090188"	"cl0"	"it1"
"Bran-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090188"	"cl0"	"it1"
"Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl0"	"it2"
"Sansa-reference_cl3_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Sansa-reference"	"cl3"	"consensus"
"Arya-MN090240_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Arya-MN090240"	"cl0"	"consensus"
"Catelyn-virosaurus_cl2_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl2"	"it2"
"Catelyn-virosaurus_cl2_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl2"	"itvariant-calling"
"Catelyn-virosaurus_cl2_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl2"	"it1"
"Catelyn-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl1"	"it1"
"Catelyn-reference_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl1"	"itvariant-calling"
"Catelyn-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl1"	"it2"
"Catelyn-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl0"	"it1"
"Catelyn-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090188"	"cl0"	"it1"
"Catelyn-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl0"	"it2"
"Catelyn-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl0"	"itvariant-calling"
"Catelyn-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090188"	"cl0"	"itvariant-calling"
"Catelyn-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090188"	"cl0"	"it2"
"Sansa-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Sansa-MN090277"	"cl0"	"consensus"
"Arya-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Arya-MN090277"	"cl0"	"consensus"
"Catelyn-reference_cl1_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl1"	"consensus"
"Arya-MN090277-MN090240_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Arya-MN090277-MN090240"	"cl0"	"consensus"
"Sansa-MN090277-MN090240_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Sansa-MN090277-MN090240"	"cl0"	"consensus"
"Tyrion-virosaurus_cl17_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl17"	"it1"
"Arya-virosaurus_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Arya-virosaurus"	"cl0"	"consensus"
"Catelyn-virosaurus_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-virosaurus"	"cl0"	"consensus"
"Tyrion-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl0"	"it1"
"Tyrion-MN090277-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl0"	"it1"
"Tyrion-virosaurus_cl17_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl17"	"it2"
"Tyrion-virosaurus_cl17_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl17"	"itvariant-calling"
"Tyrion-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl0"	"it1"
"Tyrion-MN090277-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl0"	"it2"
"Tyrion-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl0"	"it2"
"Tyrion-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl0"	"itvariant-calling"
"Tyrion-MN090277-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl0"	"itvariant-calling"
"Tyrion-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl1"	"it1"
"Tyrion-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl0"	"itvariant-calling"
"Tyrion-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl0"	"it2"
"Tyrion-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl1"	"it2"
"Tyrion-reference_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl1"	"itvariant-calling"
"Daenerys-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl0"	"it2"
"Daenerys-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl1"	"it1"
"Daenerys-virosaurus_cl3_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl3"	"it1"
"Daenerys-MN090277_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277"	"cl1"	"itvariant-calling"
"Daenerys-reference_cl2_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl2"	"it1"
"Daenerys-reference_cl2_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl2"	"itvariant-calling"
"Daenerys-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl1"	"it2"
"Daenerys-MN090277_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277"	"cl1"	"it1"
"Daenerys-MN090277-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl1"	"it1"
"Daenerys-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl1"	"itvariant-calling"
"Daenerys-virosaurus_cl3_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl3"	"itvariant-calling"
"Daenerys-MN090277_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277"	"cl1"	"it2"
"Daenerys-virosaurus_cl3_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl3"	"it2"
"Daenerys-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl1"	"itvariant-calling"
