# id: 'blast'
# section_name: 'CLUSTER: Blast'
# format: 'tsv'
# description: 'Overview of the identified clusters and their associated best hits in the provided reference pool'
# plot_type: 'table'
"(annotation) query"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"sample"	"cluster"	"step"
"Rickon-reference_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-reference"	"cl0"	"consensus"
"Catelyn-MN090277-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277-MN090188"	"cl0"	"it1"
"Bran-MN090277-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MZ766668"	"cl0"	"itvariant-calling"
"Daenerys-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl0"	"itvariant-calling"
"Bran-MN090240_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090240"	"cl0"	"itvariant-calling"
"Rickon-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090188"	"cl0"	"it2"
"Eddard-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-virosaurus"	"cl0"	"it1"
"Bran-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277"	"cl0"	"it1"
"Rickon-reference_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-reference"	"cl0"	"it1"
"Robb-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-virosaurus"	"cl0"	"itvariant-calling"
"Rickon-virosaurus_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-virosaurus"	"cl0"	"consensus"
"Robb-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-virosaurus"	"cl0"	"it2"
"Rickon-MN090277-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277-MN090188"	"cl0"	"it2"
"Daenerys-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl1"	"it2"
"Daenerys-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277"	"cl0"	"it2"
"Bran-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277"	"cl0"	"itvariant-calling"
"Eddard-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277"	"cl0"	"it2"
"Robb-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277"	"cl0"	"itvariant-calling"
"Bran-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MZ766668"	"cl0"	"it1"
"Bran-MN090277-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MZ766668"	"cl0"	"it1"
"Rickon-MN090277-MN090188_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277-MN090188"	"cl0"	"consensus"
"Rickon-reference_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-reference"	"cl0"	"itvariant-calling"
"Robb-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Daenerys-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl0"	"it2"
"Rickon-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277"	"cl0"	"consensus"
"Bran-MN090240_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090240"	"cl0"	"consensus"
"Eddard-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277-MN090188"	"cl0"	"itvariant-calling"
